0	6787	1
1	4212	2
2	14460	1
3	13523	1
4	5804	1
5	10950	4
5	11241	1
5	11741	1
5	11767	1
5	12740	3
5	13055	1
6	12743	1
7	8125	1
8	9189	1
9	5547	1
9	5804	1
10	12789	1
11	13212	3
11	14203	1
11	15001	4
11	15135	1
11	15264	3
11	15274	2
12	9206	1
12	9916	1
13	9893	1
13	10222	1
13	10680	1
14	10707	1
14	10769	1
14	13899	1
14	14132	6
14	14141	2
15	11365	1
16	8080	1
17	11869	1
18	14825	1
18	15816	1
19	4897	2
19	5142	1
20	13287	2
21	7487	1
21	9245	3
21	9847	1
22	10019	1
22	10963	1
22	12402	1
22	12611	2
23	13713	1
23	14333	1
24	10212	1
26	13809	2
26	13854	2
27	13939	1
27	15256	2
27	15559	1
27	15568	7
27	15838	1
27	16065	1
27	16070	2
28	9102	1
28	10254	3
28	10261	2
29	11224	1
29	11673	2
29	11741	1
29	11901	2
29	11944	1
29	12138	1
29	12147	1
29	12362	1
29	12512	1
29	12670	1
29	12753	1
29	12787	2
30	6659	1
31	10900	1
31	11304	1
31	11603	1
32	9881	1
32	9905	3
32	10025	1
33	8597	1
33	9287	1
33	9301	1
34	10358	1
34	10435	1
35	15454	3
36	11161	1
36	11304	1
36	11435	1
37	5409	1
37	5725	2
38	13020	1
39	14200	1
39	14537	2
39	14980	1
40	8299	1
40	10400	1
41	5149	1
42	7212	1
43	12711	5
44	6821	1
44	7244	1
44	8559	1
44	9020	1
44	10659	1
45	14796	1
46	14493	1
46	14634	1
46	15219	1
46	15433	2
48	11917	1
49	10164	1
50	14209	2
50	14641	1
51	13083	1
52	10749	1
52	10942	1
53	13228	1
53	14132	1
54	5660	1
54	6944	1
55	12631	1
56	12209	1
56	12491	2
56	13068	1
57	7559	4
57	8062	2
58	16557	2
59	12773	1
60	15117	1
60	15186	1
61	7477	4
61	7479	4
61	7900	1
61	8975	1
61	9028	1
62	2757	1
63	6817	1
64	9805	3
64	10534	6
65	6374	1
66	14141	1
66	14256	1
66	14730	2
66	14775	1
66	14886	1
66	14975	9
66	14979	1
67	12089	4
67	12356	1
67	13072	1
68	11391	1
69	9234	1
69	10024	1
69	10716	1
70	12588	1
71	14545	1
72	14132	1
72	14740	1
72	14834	1
73	10963	1
74	7479	2
74	8221	1
74	11038	1
74	11528	1
74	13150	1
75	9342	1
76	10218	2
76	10319	1
76	11103	2
76	11127	1
76	13257	2
76	13537	2
76	13800	1
76	13969	1
76	14007	1
76	14173	2
77	11014	2
78	11023	1
78	11068	1
78	11712	1
78	12202	6
79	10846	2
80	5837	2
80	7032	1
80	10801	3
81	13352	1
81	13659	1
82	13485	1
83	12548	1
83	12979	1
84	12348	1
84	12361	1
84	13223	1
84	13304	1
85	12375	1
85	12410	1
85	12989	1
85	13014	1
85	13328	1
85	13443	3
86	11150	1
86	11709	2
87	7705	1
87	8205	1
87	10647	1
